# Stockfish 19, depth 10, Threads 1, White-point-of-view centipawns clipped to +-1500
fen,cp
6k1/2q1npb1/3p1np1/2pPp2p/4P3/3BBNPP/4QP2/6K1 b - - 6 43,-3
6k1/3qnpb1/3p1np1/2pPp2p/4P3/3BBNPP/5P2/5QK1 b - - 8 44,2
6k1/2q1npb1/3p1np1/2pPp2p/4P3/3BBNPP/5PQ1/6K1 w - - 11 46,-18
6k1/1q2npb1/3p1np1/2pPp2p/4P3/3B1NPP/3B1PQ1/6K1 b - - 16 48,-170
6k1/4npb1/3p1np1/2pPp2p/4P3/1q1B1NPP/3B1PQ1/6K1 w - - 17 49,-71
2q3k1/4npb1/3p1np1/3Pp2p/2p1P3/2B3PP/2BNQP2/6K1 b - - 11 55,-19
2q3k1/5pb1/3p2p1/3np2p/2p5/2B3PP/2BNQP2/6K1 w - - 0 57,71
6k1/5pb1/3p2p1/3np2p/4N3/2p3PP/q1B2P2/B2Q2K1 b - - 1 60,-4
6k1/5pb1/3p2p1/4p2p/1n2N3/2p3PP/q1B2P2/B2Q2K1 w - - 2 61,-4
6k1/5pb1/3N2p1/4p2p/8/2B3PP/q1n2P2/3Q2K1 b - - 0 62,-93
6k1/5pb1/3N2p1/4p2p/3n4/2B3PP/q4P2/3Q2K1 w - - 1 63,-78
3Q4/5pbk/4q1p1/4p2p/8/2N3PP/5PK1/8 w - - 3 67,-5
8/2q2pbk/6p1/4p2p/8/2N3PP/3Q1P2/6K1 b - - 8 69,-25
6k1/5pb1/6p1/2qN3p/4p2P/6P1/3Q1P2/6K1 w - - 0 72,-29
8/4N1k1/6p1/4bp1p/4p1qP/6P1/5P2/4Q1K1 w - - 2 81,-38
8/6k1/6p1/3Nbp1p/4p2P/6Pq/5P2/4Q1K1 w - - 4 82,31
8/8/3k2p1/3Nbp1p/4p2P/1Q4Pq/5P2/6K1 w - - 10 85,125
8/7k/1Q4p1/3Nbp1p/4p2P/6Pq/5P2/6K1 w - - 18 89,97
7k/8/6Q1/3N1p1p/3bp2P/6Pq/5P2/6K1 b - - 0 91,34
4Q3/6k1/8/3N1p1p/3bp1qP/6P1/5P2/6K1 w - - 3 93,16
8/4Q3/7k/3N1p1p/3bp1qP/6P1/5P2/6K1 w - - 9 96,13
r1bq1rk1/ppp1npbp/3p1np1/3Pp3/2P1P3/P1N2N2/1P2BPPP/R1BQ1RK1 b - - 2 9,55
r1bqr1k1/pp2npbp/3p1np1/2pPp3/1PP1P3/P1N1BN2/4BPPP/R2Q1RK1 b - - 0 11,117
1r1r2k1/1b1qnpbp/3p1np1/p1pPp3/P1P1P3/2NBBN1P/3Q1PP1/1R2R1K1 b - - 0 18,270
1r2r1k1/1b1qnpbp/3p1np1/p1pPp3/P1P1P3/2N1BN1P/2BQ1PP1/1R2R1K1 b - - 2 19,241
1r2r1k1/3qnpbp/b2p1np1/p1pPp3/P1P1P3/2NQBN1P/2B2PP1/1R2R1K1 b - - 4 20,143
3rr1k1/3qnpbp/b2p1np1/p1pPp3/P1P1P3/2N1BN1P/2B1QPP1/1R2R1K1 b - - 6 21,219
3rr1k1/1b1qnpbp/3p1np1/p1pPp3/P1P1P3/2N1BN1P/2B1QPP1/1R2R1K1 w - - 7 22,291
1r2r1k1/1b1qnpbp/3p1np1/p1pPp3/P1P1P3/2NBBN1P/4QPP1/1R2R1K1 w - - 9 23,262
1r1r2k1/1b1qnpbp/3p1np1/p1pPp3/P1P1P3/2NBBN1P/3Q1PP1/1R2R1K1 w - - 11 24,303
1r2r1k1/1b1qnpbp/3p1np1/p1pPp1B1/P1P1P3/2NB1N1P/3Q1PP1/1R2R1K1 w - - 13 25,325
1r1r2k1/1b1qnpbp/3p1np1/p1pPp1B1/P1P1P3/2NB1N1P/4QPP1/1R2R1K1 w - - 15 26,272
1r1r2k1/1b1qnpbp/3p1np1/p1pPp1B1/P1P1P3/1RNB1N1P/4QPP1/4R1K1 b - - 16 26,234
1r1r2k1/1b1qnpb1/3p1npp/p1pPp3/P1P1P3/1RNBBN1P/4QPP1/4R1K1 b - - 1 27,231
1r2r1k1/1b1qnpb1/3p1npp/p1pPp3/P1P1P3/1RNBBN1P/4QPP1/4R1K1 w - - 2 28,461
1r2r1k1/1b1qnpb1/3p1npp/p1pPp3/P1P1P3/1RNBBN1P/4QPP1/1R4K1 b - - 3 28,390
1r1r2k1/1b1qnpb1/3p1npp/p1pPp3/P1P1P3/1RNBBN1P/4QPP1/1R4K1 w - - 4 29,499
1r1r2k1/1b1qnpb1/1R1p1npp/p1pPp3/P1P1P3/2NBBN1P/4QPP1/1R4K1 b - - 5 29,426
1r3rk1/1b1q1pb1/3p1npp/pRpPp3/P1P5/2NBBNPP/1Q3P2/1R4K1 b - - 0 33,522
4r1k1/3q1p2/3p2p1/p1pP4/2P5/3BBNPP/5P2/1R4K1 w - - 3 41,55
4r1k1/3q1p2/3p2p1/2pP4/p1P3P1/3BBN1P/5P2/1R4K1 w - - 0 42,14
r5k1/3q1p2/3p2p1/2pP4/p1P3P1/4BN1P/2B2P2/R5K1 w - - 4 44,119
r5k1/5p2/3p1qp1/2pP4/2P3P1/p4N1P/5P2/RBB3K1 w - - 4 47,-555
6k1/5p2/6p1/2pP4/2P3P1/5q1P/5P2/1B4K1 w - - 0 50,-712
6k1/5p2/6p1/2pP4/2P3P1/q6P/B4P2/6K1 w - - 2 51,-629
6k1/5p2/6p1/2pP2P1/2P5/7P/5P1K/1q6 b - - 0 53,-871
8/5pk1/3q2p1/2p5/2P4P/8/5P2/7K w - - 0 58,-916
8/5pk1/6p1/2p5/2Pq3P/8/5PK1/8 w - - 2 59,-900
8/5pk1/6p1/2p5/2P2q1P/8/6K1/8 w - - 0 60,-918
8/6k1/6p1/2p2p2/2P2q1P/7K/8/8 w - - 0 61,-901
8/6k1/6p1/2p2p2/2P4q/8/6K1/8 w - - 0 62,-875
r2q1rk1/ppp1npbp/3p1np1/3Pp3/2P1P1b1/P1N2N2/1P2BPPP/R1BQ1RK1 w - - 3 10,97
r2q1rk1/ppp1npbp/3p1np1/3Pp3/1PP1P1b1/P1N2N2/4BPPP/R1BQ1RK1 b - - 0 10,90
r2qr1k1/ppp1npbp/3p1np1/3Pp3/1PP1P1b1/P1N1BN2/4BPPP/R2Q1RK1 b - - 2 11,137
r2qr1k1/1pp1npbp/3p1np1/p2Pp3/1PP1P1b1/P1N1BN2/4BPPP/R2Q1RK1 w - - 0 12,167
r2qr1k1/1pp1npbp/3p1np1/p2Pp3/1PP1P1b1/P1N1BN2/4BPPP/R2QR1K1 b - - 1 12,127
r3r1k1/1q2npbp/3p2p1/pP2p3/1P2n3/P3BN1P/4NPP1/2RQR1K1 w - - 2 20,-22
r3r1k1/1q2npbp/3p2p1/pP2p3/QP2n3/P3BN1P/4NPP1/2R1R1K1 b - - 3 20,-2
r3r1k1/1q2npbp/3p2p1/1P2p3/1Q2n3/P3BN1P/4NPP1/2R1R1K1 b - - 0 21,-33
r2r2k1/1q2n1bp/1P4p1/3ppp2/4n3/PQN1BN1P/5PP1/2R1R1K1 b - - 0 24,284
rq4k1/4n1bp/1P4p1/3pNp2/P3p3/2Q1B2P/5PP1/4R1K1 w - - 2 29,405
r5k1/4n2p/1q4p1/3p1p2/P2Bp3/2Q4P/5PP1/4R1K1 b - - 1 31,-49
r5k1/4n2p/6p1/q2p1p2/P2Bp3/2Q4P/5PP1/4R1K1 w - - 2 32,-17
8/4nk1p/5Bp1/r2p1p2/P3p3/7P/5PP1/4R1K1 w - - 2 34,-389
8/4k2p/6p1/r2p1p2/P3p3/7P/5PP1/4R1K1 w - - 0 35,-546
8/4k2p/6p1/r2p1p2/P3p3/7P/5PP1/3R2K1 b - - 1 35,-504
8/7p/6p1/r1kp1p2/P2Rp3/7P/5PP1/6K1 w - - 4 37,-680
8/7p/6p1/2kp1p2/r3p3/7P/5PP1/3R2K1 w - - 0 38,-658
8/7p/3k2p1/5p2/r2pp3/7P/5PP1/3R2K1 w - - 0 40,-614
8/7p/3k2p1/5p2/r2pp3/7P/5PP1/1R4K1 b - - 1 40,-681
8/7p/3k2p1/5p2/r3p3/3p3P/5PP1/1R4K1 w - - 0 41,-650
8/7p/3k4/5pp1/r3p3/3p3P/5PP1/3R2K1 w - - 0 42,-659
8/7p/3k4/5pp1/r3p1P1/3p3P/5P2/3R2K1 b - - 0 42,-685
8/7p/4k3/5pp1/r3p1P1/3p3P/5P2/3R2K1 w - - 1 43,-546
8/7p/4r3/6p1/4k3/3p2KP/1R6/8 b - - 3 49,-578
8/8/4r3/4k1pp/1R6/3p2KP/8/8 w - - 2 51,-484
8/8/4r3/4k1pp/8/3p2KP/1R6/8 b - - 3 51,-531
8/4r3/8/4k1pp/8/3p2KP/1R6/8 w - - 4 52,-514
8/4r3/8/7p/3k1KpP/8/3p4/1R6 b - - 1 55,-590
8/8/8/5K1p/3kr1pP/8/3p4/1R6 b - - 3 56,-593
8/8/8/5K1p/3k2pP/8/3p4/1R2r3 w - - 4 57,-602
r1bq1rk1/ppp1npbp/3p1np1/3Pp3/2P1P3/P1N2N2/1P2BPPP/R1BQK2R w KQ - 1 9,50
r1bqr1k1/ppp1npbp/3p1np1/3Pp3/2P1P3/P1N2N2/1P2BPPP/R1BQ1RK1 w - - 3 10,97
r1bqr1k1/ppp1npbp/3p1np1/3Pp3/2P1P3/P1N1BN2/1P2BPPP/R2Q1RK1 b - - 4 10,53
r1bqr1k1/pp2npbp/3p1np1/2pPp3/2P1P3/P1N1BN2/1P2BPPP/R2Q1RK1 w - c6 0 11,112
r1bqr1k1/p3npbp/3p1np1/2pPp3/2P1P3/P1N1BN2/4BPPP/R2Q1RK1 w - - 0 13,114
r1b1r1k1/p2qnpbp/3p1np1/2pPp3/2P1P3/P1N1BN2/4BPPP/1R1QR1K1 b - - 3 14,130
r1b1r1kb/p2qnp1p/3p1np1/2pPp3/2P1P3/P1N1BN2/4BPPP/1R1QR1K1 w - - 4 15,160
r1b1r1kb/p2qnp1p/3p1np1/2pPp3/2P1P3/PRN1BN2/4BPPP/3QR1K1 b - - 5 15,162
r1b2rkb/p2qnp1p/3p1np1/2pPp3/2P1P3/PRN1BN2/4BPPP/3QR1K1 w - - 6 16,180
r4rkb/pb1qnp1p/3p1np1/2pPp3/2P1P3/PRNBBN2/5PPP/3QR1K1 w - - 8 17,179
r4rkb/pb1qnp1p/3p1np1/2pPp3/2P1P3/PRNBBN2/3Q1PPP/4R1K1 b - - 9 17,198
r3r1kb/pb1qnp1p/3p1np1/2pPp3/2P1P3/PRNBBN2/3Q1PPP/4R1K1 w - - 10 18,238
r3r1kb/pb1qnp1p/3p1np1/2pPp3/2P1P3/PRNBBN2/3Q1PPP/1R4K1 b - - 11 18,231
1r2r1kb/pb1qnp1p/3p1np1/2pPp3/2P1P3/PRNBBN2/3Q1PPP/1R4K1 w - - 12 19,657
1r2r1k1/pb1qnpbp/3p1np1/2pPp3/P1P1P3/1RNBBN2/3Q1PPP/1R4K1 w - - 1 20,484
1r2r1k1/pb1qnpbp/3p2p1/2pPp3/P1P1N3/1R1BBN2/1Q3PPP/1R4K1 b - - 0 21,513
1r2r1k1/pb1qn1bp/3p2p1/2NPpp2/P1P5/1R1BBN2/1Q3PPP/1R4K1 b - - 0 22,556
4r1k1/pQ1qn1bp/6p1/2pPpp2/P1P5/3BBN2/5PPP/1R4K1 b - - 0 24,479
4r1k1/pR2n1bp/6p1/2pPpp2/P1P5/3BBN2/5PPP/6K1 b - - 0 25,512
4r1k1/pR2n1bp/6p1/2pP1p2/P1P1p3/3BBN2/5PPP/6K1 w - - 0 26,597
1r4k1/p3R1bp/3P2p1/2B2p2/P1P5/3B4/5PKP/8 b - - 0 29,668
6k1/p3R1bp/3P2p1/2B2p2/P1P5/1r1B4/5PKP/8 w - - 1 30,765
1r4k1/B3R1bp/3P2p1/5p2/P1P5/8/2B2PKP/8 b - - 0 31,781
6k1/B3R1bp/3P2p1/5p2/PrP5/8/2B2PKP/8 w - - 1 32,1185
6k1/B2PR1bp/6p1/5p2/PrP5/8/2B2PKP/8 b - - 0 32,1021
3Q1bk1/B3R3/6p1/5p1p/PrP5/8/2B2PKP/8 w - - 0 34,1500
5b1k/B3R3/6p1/3Q1p1p/PrP5/8/2B2PKP/8 w - - 2 35,1500
r1b2rk1/ppp2pbp/6p1/2n1N3/2P2B2/2N5/PP2BKPP/3R3R b - - 0 14,454
r1b1r1k1/pp4bp/2p2pp1/8/2Pn4/2NN1BB1/PP4PP/3R2KR w - - 2 19,475
r1b1r1k1/pp4bp/2p2pp1/8/2P5/2NN1PB1/PP1R3P/6KR b - - 0 20,384
r1b1r1k1/1p5p/2p3p1/p4p2/P1P5/2PN1P2/3R1BKP/7R b - - 1 24,557
r3r1k1/1R6/2p3pp/p1N2p2/P1b5/2P2P2/5BKP/7R b - - 0 27,541
4r1k1/R7/2p3pp/p1N1rp2/P1b5/2P2P2/5BKP/6R1 b - - 4 29,405
4r1k1/RN6/2p3pp/p4p2/P1b5/2P2P2/4rBKP/6R1 b - - 6 30,360
4r1k1/R7/2pN2pp/p7/P1b2p2/2P2P2/4rBKP/6R1 b - - 1 31,596
6k1/R7/2pN2pp/p7/P1b2p2/2P2P2/4r2P/5KR1 b - - 2 33,603
8/r6k/2R4p/p7/P1N2p2/2P2P2/7P/5K2 b - - 0 36,605
8/r6k/2R5/p6p/P1N2p2/2P2P2/7P/5K2 w - - 0 37,692
8/r6k/5R2/p6p/P1N2p2/2P2P2/7P/5K2 b - - 1 37,632
8/7k/8/N6p/P4R2/2r2P2/7P/5K2 w - - 0 40,619
6k1/2R5/8/7p/P1N5/5P2/7r/5K2 w - - 0 43,560
6k1/2R5/P7/8/2N4p/5P1r/8/5K2 w - - 1 45,602
2R5/5k2/P7/8/2N4p/5P1r/8/5K2 w - - 3 46,814
2R5/P4k2/8/8/2N4p/5P2/6K1/7r b - - 2 47,752
R7/8/4k3/8/2N4p/5P2/6K1/8 w - - 1 50,745
8/8/8/3k4/2N4R/5P2/6K1/8 b - - 0 51,737
8/8/8/2k5/2N4R/5P2/6K1/8 w - - 1 52,785
8/8/8/2k1N3/7R/5P2/6K1/8 b - - 2 52,769
8/8/8/3kN3/7R/5P2/6K1/8 w - - 3 53,767
8/8/8/3k4/7R/3N1P2/6K1/8 b - - 4 53,760
8/8/4k3/8/7R/3N1P2/6K1/8 w - - 5 54,728
8/8/8/5k2/5P1R/3N4/6K1/8 w - - 1 55,756
8/8/8/8/4kP1R/3N4/5K2/8 w - - 3 56,750
8/8/8/4N3/3k1P1R/8/5K2/8 w - - 5 57,711
8/8/8/3kN3/5P1R/5K2/8/8 w - - 7 58,713
8/7R/8/3kN3/5P2/5K2/8/8 b - - 8 58,701
8/7R/4k3/4N3/5P2/5K2/8/8 w - - 9 59,753
r1bq1rk1/ppp2pbp/n2p1np1/4P3/2P1P3/2NQ1N2/PP2BPPP/R1B1K2R b KQ - 0 8,0
r1br2k1/ppp2pbp/5np1/2n1N3/2P1P3/2N5/PP2BPPP/R1B1K2R w KQ - 0 11,-43
r1br2k1/ppp2pbp/5np1/2n1N1B1/2P1P3/2N5/PP2BPPP/R3K2R b KQ - 1 11,-61
r1br2k1/ppp2pbp/4nnp1/4N1B1/2P1P3/2N5/PP2BPPP/R3K2R w KQ - 2 12,-12
r1b3k1/ppp2pbp/4nnp1/4N3/2PrP2B/2N5/PP2BPPP/R3K2R w KQ - 4 13,71
r1b3k1/ppp2pbp/4nnp1/8/2PrP2B/2N2N2/PP2BPPP/R3K2R b KQ - 5 13,46
r1b3k1/pppr1pbp/4nnp1/8/2P1P2B/2N2N2/PP2BPPP/R4RK1 b - - 7 14,35
r1b3k1/pppr1pbp/5np1/8/2P1Pn1B/2N2N2/PP3PPP/R2B1RK1 b - - 9 15,52
r1b3k1/pp1r1pbp/5np1/2p5/2P1Pn1B/2N2N2/PP3PPP/R2B1RK1 w - - 0 16,220
r1br2k1/pp3pbp/5np1/2p1P3/B1P2n1B/2N2N2/PP3PPP/R4RK1 b - - 0 17,590
r2r2kb/pp3p1p/4bPp1/2p5/B1P2n1B/2N2N2/PP3PPP/R4RK1 w - - 1 19,732
r2r2kb/pp3p1p/5Pp1/2p4n/B1b1N2B/5NP1/PP3P1P/R4RK1 w - - 0 21,632
r2r2kb/pp3p1p/5Pp1/2p4n/B1b1N2B/5NP1/PP3P1P/R3R1K1 b - - 1 21,563
r2r2kb/5p1p/5Pp1/pppbN2n/4N2B/6P1/PPB2P1P/R3R1K1 w - - 0 24,649
r2r2kb/5p1p/5Pp1/pppbN2n/P3N2B/6P1/1PB2P1P/R3R1K1 b - - 0 24,640
4r1k1/5p1p/2B2bp1/R1p1N2n/5P1B/6P1/1r5P/4R1K1 b - - 1 30,526
6k1/4rp1p/5np1/2R1N3/5P2/5BP1/3r3P/4R1K1 b - - 2 33,578
4r1k1/R4p2/5np1/4N2p/5P2/5BP1/3r3P/4R1K1 b - - 1 35,589
6k1/R4p2/4rnp1/4N2p/5P2/5BP1/3r3P/4R1K1 w - - 2 36,709
6k1/R4p2/4rnp1/4N2p/5P2/5BP1/3r3P/2R3K1 b - - 3 36,676
4r1k1/R4N2/5np1/7p/5P2/5BP1/3r3P/2R3K1 b - - 0 37,680
1r4k1/R7/5np1/4N2p/5P2/5BP1/3r3P/2R3K1 b - - 2 38,735
1r4k1/R7/6N1/7p/5Pn1/5BP1/3r3P/2R3K1 b - - 0 39,754
4rk2/R7/8/3N3p/5Pn1/5BP1/3r3P/2R3K1 w - - 5 42,791
4rk2/7R/8/3N3p/5Pn1/5BP1/3r3P/2R3K1 b - - 6 42,728
4Bk2/7R/8/3r4/5P2/5nP1/6K1/2R5 b - - 2 45,729
5k2/8/6B1/8/5PPR/5K2/3r4/2R5 b - - 0 49,723
5k2/3r4/6B1/8/5PPR/5K2/8/2R5 w - - 1 50,783
5k2/3r4/6B1/5P2/6PR/5K2/8/2R5 b - - 0 50,778
5k2/8/6B1/5P2/4K1PR/6r1/8/2R5 w - - 3 52,1500
r1b3k1/pp1r1pbp/5np1/2p5/2P1Pn1B/2N2NP1/PP3P1P/R2B1RK1 b - - 0 16,113
r1b3k1/1p2Bpbp/4r1p1/p1p5/B1P1P1n1/2Nn1NP1/PP3P1P/1R3RK1 w - - 6 21,119
r1b3k1/1p3p1p/5Bp1/2p5/p1r5/2P2NP1/P1B2K1P/1R6 w - - 0 27,390
1r4k1/1p3p1p/5Bp1/2p5/p5b1/2PB2P1/P4K1P/1R6 w - - 0 30,488
6k1/1B3p1p/4r1p1/2p3B1/p5b1/2P3P1/P4K1P/1R6 b - - 2 32,385
4bk2/5p1p/5Bp1/2RB4/8/2P3P1/p3r2P/6K1 w - - 0 40,26
4bk2/5p1p/6p1/2RB4/2P5/6P1/6KP/r7 w - - 0 43,4
4bk2/2R2p1p/6p1/3B4/2P5/6P1/6KP/r7 b - - 1 43,2
4bk2/R4p1p/6p1/3B4/2P5/3r2PK/7P/8 b - - 7 46,4
4bk2/R4p1p/6p1/3B4/2P3P1/7K/3r3P/8 b - - 0 47,6
4bk2/R4p2/6pp/3B4/2P3P1/7K/3r3P/8 w - - 0 48,6
4bk2/R7/6p1/5p1p/2P3P1/5BK1/3r3P/8 w - - 0 52,15
5k2/R7/6b1/3B1p2/2Pr3p/5K1P/8/8 w - - 2 56,174
5k2/R7/6b1/3B1p2/2P4p/4K2P/8/3r4 w - - 4 57,197
4bk2/7R/8/3B1p2/2P4p/4K2P/8/3r4 b - - 7 58,57
5k2/8/6b1/3B1p2/2P4R/4K2P/8/3r4 b - - 0 59,31
8/8/5kb1/3B1p2/2P2R2/4K2P/8/3r4 w - - 3 61,5
8/8/5kb1/3B1p2/2PR4/4K2P/8/3r4 b - - 4 61,6
8/8/5kb1/3B1p2/2PR1K2/7P/8/4r3 b - - 6 62,12
8/8/2R5/2P1kp2/7P/4K3/8/2r5 b - - 4 68,0
8/8/2R5/2Pk1p2/7P/4K3/8/2r5 w - - 5 69,37
2R5/8/8/2Pk1p1P/7r/4K3/8/8 w - - 1 71,15
2R5/2P5/8/3k1p1r/5K2/8/8/8 b - - 0 73,8
5R2/2k5/8/5p1r/5K2/8/8/8 b - - 1 76,-3
5R2/8/2k5/4Kp1r/8/8/8/8 b - - 3 77,-12
r1bq1rk1/ppp2pbp/5np1/2n1N3/2P1P3/2NQ4/PP2BPPP/R1B1K2R w KQ - 1 10,13
r1b3k1/pppr3p/4n1p1/8/2P3n1/2P2NB1/P3BPPP/R4RK1 b - - 0 18,229
r1b3k1/1pB4p/5np1/p7/2P5/5B2/P2r1PPP/R4RK1 w - - 0 23,399
r1b3k1/1p1r3p/5np1/p3B3/2P5/5B2/P4PPP/R2R2K1 b - - 3 24,429
2b3k1/1p1n3p/r5p1/p3B3/2P5/5B2/P4PPP/R5K1 w - - 0 26,423
2b2k2/1p5p/6p1/r1PB4/2R2P2/p5P1/P6P/5K2 b - - 5 35,77
2b2k2/1p6/6pp/r1PB4/2R2P2/p5P1/P6P/5K2 w - - 0 36,175
2b2k2/1p6/6p1/r1PB3p/2R2P2/p5P1/P6P/6K1 w - - 0 37,188
2b2k2/1p6/6p1/r1PB3p/2R2P1P/p5P1/P7/6K1 b - - 0 37,67
2b1k3/1p6/6p1/r1P4p/2R1BP1P/p5P1/P7/6K1 b - - 2 38,101
2b1k3/1p6/r1P3p1/7p/2R1BP1P/p5P1/P7/6K1 b - - 0 39,179
5k2/8/r1p3B1/7p/4RPbP/p5P1/P7/6K1 w - - 3 42,143
5k2/8/r1p3B1/4R2p/5PbP/p5P1/P7/6K1 b - - 4 42,126
5k2/8/1rp5/4RB1p/5PbP/p5P1/P7/6K1 b - - 6 43,-28
5k2/8/2R5/8/5PpP/p5P1/r7/6K1 b - - 0 46,-361
5k2/8/8/2R5/5PpP/p5P1/4r3/6K1 b - - 2 47,-302
5k2/8/8/8/5PpP/6P1/p1r5/2R3K1 w - - 2 49,-426
5k2/8/8/8/5PpP/2r3P1/p7/3R2K1 w - - 4 50,-216
5k2/8/8/8/5PpP/6P1/pr6/R4K2 w - - 10 53,-572
8/6k1/8/8/5PpP/6P1/r7/7K b - - 3 55,-576
8/6k1/8/8/5PpP/6P1/3r4/7K w - - 4 56,-541
8/8/6k1/8/5PpP/6P1/5r2/6K1 b - - 9 58,-563
8/8/6k1/8/5PpP/6P1/2r5/6K1 w - - 10 59,-557
8/8/6k1/8/5PpP/6P1/3r4/4K3 b - - 13 60,-617
8/8/8/5k2/6pP/6r1/8/5K2 w - - 0 63,-678
8/8/8/5k2/6pP/8/6r1/4K3 w - - 2 64,-684
8/8/8/5k2/6pP/8/7r/3K4 w - - 4 65,-687
8/8/8/5k2/7P/6p1/7r/4K3 w - - 0 66,-742
r1bq1rk1/1ppn1pbp/3p1np1/p2Pp3/2P1P3/2N2N1P/PP2BPP1/R1BQK2R w KQ - 1 9,64
r1bq1rk1/1pp2pbp/3p1np1/p1nPp3/2P1P3/2N2N1P/PPQ1BPP1/R1B2RK1 b - - 4 10,1
r1bqr1k1/2p2pbp/1p1p1np1/p1nPp3/2P1P3/2N1BN1P/PPQ1BPP1/R3R1K1 b - - 1 12,46
r2qr1k1/1b3pbp/1p1p1np1/p1nPp3/P1P5/2N1BN1P/1PQ1BPP1/3RR1K1 b - - 0 15,-41
2rqr1k1/1b3pbp/1p1p1np1/p1nP4/P1P1p3/2N1BNPP/1PQ1BP2/3RR1K1 w - - 0 17,45
2rqr1k1/1b3pbp/1p1p1np1/p1nP4/P1PNp3/2N1B1PP/1PQ1BP2/3RR1K1 b - - 1 17,57
2r1r1k1/1b1q1pbp/1p1p1np1/p1nP4/P1PNpB2/2N3PP/1PQ1BP2/3RR1K1 b - - 3 18,-23
2r1r1k1/1b1q1pbp/1p1p1np1/p1nP2B1/P1PNp3/2N3PP/1PQ1BP2/3RR1K1 w - - 6 20,94
2r1r1k1/1b1q1pbp/1p1p1np1/pNnP2B1/P1P1p3/2N3PP/1PQ1BP2/3RR1K1 b - - 7 20,21
2r1r1k1/1b1q1pb1/1p1p1npp/pNnP2B1/P1P1p3/2N3PP/1PQ1BP2/3RR1K1 w - - 0 21,97
2r1rbk1/1b1q1p2/1p1p1npp/pNnP4/P1P1pB2/2N2PPP/1PQ1B3/3RR1K1 b - - 0 22,-325
2r1rbk1/1b1q1p2/1p1p1n1p/pNnP2p1/P1P1pB2/2N2PPP/1PQ1B3/3RR1K1 w - - 0 23,-374
2r1rbk1/1b3p2/3p1n1p/pNpP2p1/P1P1p2q/2N2P2/1PQ1B3/3RR1K1 w - - 0 27,-412
2r1rbk1/1b3p2/3p3p/pNpP2p1/P1P1n2q/2N5/1PQ1B3/3RR1K1 w - - 0 28,-542
2r1rbk1/1b3p2/3p3p/pNpP2p1/P1P1n2q/2N2B2/1PQ5/3RR1K1 b - - 1 28,-616
2r1rbk1/1b3p2/3p3p/pNpP2p1/P1P4q/2Q2B2/1P6/3RR1K1 b - - 0 29,-557
5bk1/1b6/3p3p/rN1P1p2/1RP3p1/8/6B1/6K1 b - - 0 39,-419
b4bk1/2N5/3p3p/r2P1p2/1RP3p1/8/6B1/6K1 b - - 2 40,-240
b4bk1/2N5/3p3p/3P1p2/1RP3p1/8/8/r4BK1 b - - 4 41,-120
8/1R6/3p2kb/5p1N/2P3p1/8/8/r4BK1 w - - 3 47,-42
8/1R6/3p2kb/5p2/2P3p1/6N1/8/r4BK1 b - - 4 47,-51
8/1R6/3p2k1/r7/2P2pp1/4b3/6K1/5BN1 w - - 2 51,-95
1R6/8/3p2k1/8/2P2pp1/4b3/r7/5BNK b - - 5 52,-147
1R6/8/3p1k2/8/2P2pp1/3Bb3/8/r5NK w - - 8 54,-101
5R2/4k3/3p4/8/2P2pp1/3Bb3/8/r5NK w - - 10 55,-533
8/4k3/3p4/8/2P2p2/3BbKp1/7r/8 w - - 2 60,-810
8/4k3/3p4/8/2P2pK1/4b1p1/8/5r2 w - - 0 62,-853
8/4k3/3p4/8/2P2p2/4b1pK/8/5r2 b - - 1 62,-885
8/4k3/3p4/8/2P2p2/4bK2/6pr/8 w - - 0 65,-1095
8/4k3/3p4/5K2/2P2p2/4b3/7r/6q1 b - - 1 66,-1500
rnbq1rk1/1pp2pbp/3p1np1/p2Pp3/2P1P3/2N2N1P/PP2BPP1/R1BQK2R b KQ - 0 8,34
r1bq1rk1/1pp2pbp/3p1np1/p1nPp1B1/2P1P3/2N2N1P/PP2BPP1/R2Q1RK1 b - - 4 10,-68
r1bq1rk1/1pp2pb1/3p1npp/p1nPp1B1/2P1P3/2N2N1P/PP2BPP1/R2Q1RK1 w - - 0 11,-58
r1bq1rk1/1pp2p2/3p1bp1/p1nPp2p/2P1P3/2N2N1P/PP1QBPP1/R4RK1 w - - 0 13,-61
r1bq1rk1/1pp2p2/3p1bp1/p1nPp2p/2P1P3/2N2N1P/PP1QBPP1/R3R1K1 b - - 1 13,-84
r1bq1rk1/2p2p2/1p1p1bp1/p1nPp2p/2P1P3/2N2N1P/PP1QBPP1/R3R1K1 w - - 0 14,-67
r1bq1rk1/2p2p2/1p1p1bp1/p1nPp2p/2P1P3/2N2N1P/PP1QBPP1/1R2R1K1 b - - 1 14,-84
r1bq1rk1/2p2p2/1p1p1bp1/p1nPp3/2P1P2p/2N2N1P/PP1QBPP1/1R2R1K1 w - - 0 15,0
2bqr1k1/2p2p2/rp1p1bp1/p1nPp3/P1P1P2p/2N2N1P/1P1QBPP1/3RR1K1 w - - 1 17,-75
2b1r1k1/2p1qp2/rp1p1bp1/p1nPp3/P1P1P2p/2NB1N1P/1P1Q1PP1/3RR1K1 w - - 3 18,-98
2b1r1k1/2p1qp2/rp1p1bpQ/p2Pp3/P1P1P2p/2NR1N1P/1P3PP1/4R1K1 b - - 0 19,2
